Film Title,Year,Genre,Poster URL
The Day the Earth Stood Still,1951,Science Fiction,"https://m.media-amazon.com/images/M/MV5BMTU5NTBmYTAtOTgyYi00NGM0LWE0ODctZjNiYWM5MmIxYzE4XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
Godzilla,1954,Science Fiction,"https://m.media-amazon.com/images/M/MV5BMjAzNTk3MTc2OF5BMl5BanBnXkFtZTgwNzI5MzU5MTE@._V1_UY268_CR2,0,182,268_AL_.jpg"
Them!,1954,Science Fiction,"https://m.media-amazon.com/images/M/MV5BOTk3MjlhNDAtMmFkMC00MGJjLWI3OWUtNGQ3NTYwMmM3ZGQ1XkEyXkFqcGdeQXVyNDY2MTk1ODk@._V1_UX182_CR0,0,182,268_AL_.jpg"
Invasion of the Body Snatchers,1956,Science Fiction,"https://m.media-amazon.com/images/M/MV5BYTExYjM3MDYtMzg4MC00MjU4LTljZjAtYzdlMTFmYTJmYTE4XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
Twilight Zone: Time Enough to Last,1959,Science Fiction,"https://m.media-amazon.com/images/M/MV5BNTAzMDI5MzgtMGNkMC00MzllLWJhNjctNjA1NmViNGUxMzYxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
On the Beach,1959,Drama,"https://m.media-amazon.com/images/M/MV5BMTMyNTIzMDEyMV5BMl5BanBnXkFtZTcwODQwOTc2NA@@._V1_UX140_CR0,0,140,209_AL_.jpg"
"The World, the Flesh and the Devil",1959,Science Fiction,"https://m.media-amazon.com/images/M/MV5BMTcwOTQ2MDE5Ml5BMl5BanBnXkFtZTgwMjM4NTkxMTE@._V1_UX182_CR0,0,182,268_AL_.jpg"
The Time Machine,1960,Science Fiction,"https://m.media-amazon.com/images/M/MV5BYzEwNGJiY2EtYTZmYi00NjZhLWEwZmUtMjc0MTJlODgzZmY4XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
Twilight Zone: Elegy,1960,Science Fiction,"https://m.media-amazon.com/images/M/MV5BNTAzMDI5MzgtMGNkMC00MzllLWJhNjctNjA1NmViNGUxMzYxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
Twilight Zone: Two,1961,Science Fiction,"https://m.media-amazon.com/images/M/MV5BNTAzMDI5MzgtMGNkMC00MzllLWJhNjctNjA1NmViNGUxMzYxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
The Day the Earth Caught Fire,1961,Thriller,https://m.media-amazon.com/images/M/MV5BZjZmYTUxZDktZDA5YS00OTE0LWFjZWItNjc1ZDU1Mjg5YmIyXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_SX178_AL_.jpg
The Manchurian Candidate,1962,Drama,"https://m.media-amazon.com/images/M/MV5BOTY0ZTA1ZjUtN2MyNi00ZGRmLWExYmMtOTkyNzI1NGQ2Y2RlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX182_CR0,0,182,268_AL_.jpg"
Dr. No,1962,Action,https://m.media-amazon.com/images/M/MV5BMWRkZTI4NzktYjA4Yi00ZjE0LTgzOWQtYzJlMTkyOTU1ODRmXkEyXkFqcGdeQXVyNDY2MTk1ODk@._V1_SX178_AL_.jpg
Panic in Year Zero,1962,Thriller,https://m.media-amazon.com/images/M/MV5BNDM1NmU1NTktYmI5My00NjlhLWFlMGEtYTIxOWQxMTgzY2VlXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_SX178_AL_.jpg
Twilight Zone: The Old Man in the Cave,1963,Science Fiction,"https://m.media-amazon.com/images/M/MV5BNTAzMDI5MzgtMGNkMC00MzllLWJhNjctNjA1NmViNGUxMzYxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
Ladybug Ladybug,1963,Drama,"https://m.media-amazon.com/images/M/MV5BOWUwYjY4YjktOGE4OC00MWE5LTgzNGMtMTU4MDE4ZjJmNWVhXkEyXkFqcGdeQXVyMTE2NzA0Ng@@._V1_UX182_CR0,0,182,268_AL_.jpg"
Fail-Safe,1964,Thriller,"https://m.media-amazon.com/images/M/MV5BNjcyZjA1NzktYmNmYy00M2UwLWFmNTktNzRmNjNiZWUyZGI1XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UX140_CR0,0,140,209_AL_.jpg"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Absurd,"https://m.media-amazon.com/images/M/MV5BZWI3ZTMxNjctMjdlNS00NmUwLWFiM2YtZDUyY2I3N2MxYTE0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX140_CR0,0,140,209_AL_.jpg"
Goldfinger,1964,Action,https://m.media-amazon.com/images/M/MV5BZDVjMzY1NjctMjRhMS00MTA2LWI1OTEtODZjMGJmMGQzMzc4XkEyXkFqcGdeQXVyNDY2MTk1ODk@._V1_SX178_AL_.jpg
The Bedford Incident,1965,Thriller,https://m.media-amazon.com/images/M/MV5BZGM5YjAwY2MtM2ViZS00YzlhLWFhMTQtYzg2YWU2YzVjMzFmL2ltYWdlXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_SX178_AL_.jpg
Thunderball,1965,Action,https://m.media-amazon.com/images/M/MV5BM2I0YWRjZDQtMjQwMC00N2EzLTg0MTctYWE0MzIzOTZiMjE5XkEyXkFqcGdeQXVyNDY2MTk1ODk@._V1_SX178_AL_.jpg
The War Game,1966,Drama,"https://m.media-amazon.com/images/M/MV5BZWRlODdjY2YtYmJhNy00NDE3LWFmOWMtOTUyOWZkOGUyOTI5XkEyXkFqcGdeQXVyMTk0MjQ3Nzk@._V1_UX140_CR0,0,140,209_AL_.jpg"
